"","gene","CTX-M-DSVA1","CTX-M-DSVA2","CTX-M-DSVA3","CTX-M-DSVA4","STR-M-DSVA1","STR-M-DSVA2","STR-M-DSVA3","STR-M-DSVA4","baseMean","log2FC","log2FCunshrunk","pvalue","padj"
"15","0610039K10Rik",0,1.07,1.34,1.31,0,0,1.79,0,0.7,-0.13,-1.3,0.55977,NA
"16","0610040B10Rik",108.7,89.99,72.22,86.58,45.65,33.73,49.21,35.82,65.2,-0.99,-1.12,2.29104759706223e-06,1e-05
"17","0610040F04Rik",19.6,18.21,21.4,11.81,10.74,15.46,8.95,15.55,15.2,-0.29,-0.47,0.27845,0.40752
"18","0610040J01Rik",302.92,288.19,334.35,313.53,301.45,260,209.35,192.63,275.3,-0.33,-0.36,0.02772,0.0621
"19","0610043K17Rik",3.56,4.29,1.34,6.56,0,0,0,1.35,2.1,-0.84,-3.45,0.02167,0.0504
"20","0710001A04Rik",0,0,0,0,0,0,0,1.35,0.2,0.02,0.53,0.88101,NA
"21","1010001B22Rik",12.47,4.29,13.37,6.56,12.08,10.54,12.53,6.76,9.8,0.11,0.22,0.6949,0.79354
"22","1100001I12Rik",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"23","1110002E22Rik",126.52,104.99,149.79,101.01,47,13.35,7.16,9.46,69.9,-2.37,-2.63,8.93167648051626e-09,8.01220866150302e-08
"24","1110002J07Rik",44.55,39.64,41.46,49.85,38.27,30.92,26.84,18.92,36.3,-0.46,-0.61,0.04851,0.10004
"25","1110002L01Rik",612.98,457.47,446.68,446.03,384.7,387.18,250.5,239.94,403.2,-0.56,-0.63,0.00097,0.0033
"26","1110002O04Rik",1.78,4.29,20.06,7.87,6.04,0.7,2.68,1.35,5.6,-0.58,-1.66,0.07105,0.13738
"27","1110003F10Rik",5.35,4.29,9.36,7.87,1.34,0.7,0.89,0.68,3.8,-1.39,-2.89,0.00307,0.00914
"28","1110004F10Rik",3023.9,2729.81,2522.3,2119.95,2165.85,2119.32,2177.6,2057.38,2364.5,-0.27,-0.29,0.0112,0.02844
"29","1110006O24Rik",12.47,15,10.7,22.3,12.76,16.86,7.16,13.52,13.8,-0.15,-0.26,0.58009,0.70227
"30","1110008E08Rik",1.78,0,0,0,0,0,0.89,1.35,0.5,0.03,0.44,0.86785,NA
"31","1110008P14Rik",4704.24,4694.67,4268.92,4407.81,1618.68,850.26,866.92,930.69,2792.8,-2.03,-2.08,4.26215749113034e-29,4.63621383331669e-27
"32","1110012L19Rik",359.95,400.69,334.35,282.05,298.76,283.89,269.29,274.41,312.9,-0.27,-0.29,0.03178,0.0698
"33","1110013H19Rik",3.56,6.43,13.37,22.3,14.77,6.32,8.95,8.79,10.6,-0.11,-0.25,0.68861,0.78869
"34","1110015O18Rik",44.55,77.14,34.77,55.1,90.64,119.46,135.09,171,91,1.09,1.27,7.40072046492088e-06,4e-05
"35","1110017D15Rik",39.2,46.07,40.12,45.91,71.17,159.51,139.57,81.11,77.8,1.18,1.39,4.68538040962064e-06,3e-05
"36","1110018N20Rik",356.38,230.34,251.43,276.8,134.27,96.97,60.84,50.69,182.2,-1.54,-1.7,8.21921577324151e-10,8.79794280156545e-09
"37","1110019B22Rik",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"38","1110019D14Rik",87.31,69.64,62.86,74.78,50.35,50.59,40.26,30.41,58.3,-0.65,-0.77,0.00227,0.00702
"39","1110020A21Rik",17.82,20.36,29.42,39.36,12.76,16.16,8.95,16.9,20.2,-0.65,-0.96,0.0199,0.04691
"40","1110025L11Rik",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"41","1110025M09Rik",12.47,13.93,22.74,5.25,4.03,5.62,7.16,8.11,9.9,-0.6,-1.13,0.05347,0.10861
